EmployeeID,PredictedProbability,RiskLevel,Driver_1,SHAP_1,FeatureValue_1,Impact_1,Driver_2,SHAP_2,FeatureValue_2,Impact_2,Driver_3,SHAP_3,FeatureValue_3,Impact_3,Department,JobRole,Gender,Age,BusinessTravel,EducationField,MaritalStatus,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,EngagementScore,WellbeingScore,CareerGrowthScore,LoyaltyScore,AttritionRiskScore,RecommendationCategory,AIRecommendation,RetentionPriorityScore
840,0.8902,High,OvertimeRisk,2.3597,0,Increases Attrition Risk,StockOptionLevel,1.181,0.0,Increases Attrition Risk,Age,-0.4792,42.0,Reduces Attrition Risk,Sales,Sales Executive,Male,42,Travel_Rarely,Marketing,Single,5155,6,No,1,2,4,2.0,1.333333333,0.442,0.6,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",94.0
57,0.8894,High,OvertimeRisk,2.0884,0,Increases Attrition Risk,FrequentTraveler,0.8695,1.0,Increases Attrition Risk,NumCompaniesWorked,0.7502,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,35,Travel_Frequently,Life Sciences,Married,9069,9,No,1,2,2,2.0,0.666666667,0.74,0.9,0.533,Retention,Understand employee expectations and strengthen long-term retention strategies.,94.0
537,0.8912,High,OvertimeRisk,2.1142,0,Increases Attrition Risk,StockOptionLevel,1.1992,0.0,Increases Attrition Risk,Age,-0.5959,60.0,Reduces Attrition Risk,Sales,Sales Executive,Male,60,Travel_Rarely,Marketing,Single,5405,2,No,1,1,3,1.666666667,0.666666667,0.444,0.18,0.467,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",94.0
1366,0.8776,High,OvertimeRisk,1.8993,0,Increases Attrition Risk,StockOptionLevel,1.2175,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7819,1.0,Increases Attrition Risk,Sales,Sales Representative,Male,29,Travel_Frequently,Technical Degree,Single,1091,1,No,1,3,3,2.666666667,1.333333333,0.476,0.5,0.467,Retention,Understand employee expectations and strengthen long-term retention strategies.,93.0
515,0.8772,High,OvertimeRisk,2.4604,1,Increases Attrition Risk,StockOptionLevel,1.1586,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7938,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,33,Travel_Frequently,Life Sciences,Single,3348,10,Yes,1,1,3,0.666666667,0.666666667,0.133,0.91,0.667,Retention,Understand employee expectations and strengthen long-term retention strategies.,93.0
283,0.8747,High,OvertimeRisk,2.4027,0,Increases Attrition Risk,StockOptionLevel,1.0239,0.0,Increases Attrition Risk,JobSatisfaction,-0.6136,4.0,Reduces Attrition Risk,Sales,Sales Executive,Male,29,Travel_Frequently,Life Sciences,Single,4554,10,No,4,2,2,2.0,0.666666667,0.583,0.91,0.133,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",92.0
172,0.8739,High,OvertimeRisk,1.9789,0,Increases Attrition Risk,StockOptionLevel,1.1769,0.0,Increases Attrition Risk,FrequentTraveler,0.576,1.0,Increases Attrition Risk,Sales,Sales Representative,Female,19,Travel_Frequently,Technical Degree,Single,2325,0,No,1,3,4,0.666666667,1.666666667,0.571,0.0,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",92.0
769,0.8605,High,OvertimeRisk,1.9957,0,Increases Attrition Risk,FrequentTraveler,0.8988,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6144,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,40,Travel_Rarely,Marketing,Married,8396,7,No,1,3,2,1.666666667,1.0,0.333,0.78,0.733,Retention,Understand employee expectations and strengthen long-term retention strategies.,91.0
948,0.856,High,OvertimeRisk,2.3295,1,Increases Attrition Risk,StockOptionLevel,1.1956,0.0,Increases Attrition Risk,JobSatisfaction,-0.6049,2.0,Reduces Attrition Risk,Sales,Sales Executive,Male,52,Travel_Rarely,Life Sciences,Single,8446,8,Yes,2,2,2,2.0,0.666666667,0.535,0.73,0.667,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",91.0
128,0.8599,High,OvertimeRisk,2.0429,1,Increases Attrition Risk,StockOptionLevel,1.1809,0.0,Increases Attrition Risk,NumCompaniesWorked,0.9467,1.0,Increases Attrition Risk,Sales,Sales Representative,Male,19,Travel_Rarely,Marketing,Single,1675,0,Yes,3,4,2,3.333333333,1.333333333,0.524,0.0,0.6,Retention,Understand employee expectations and strengthen long-term retention strategies.,91.0
781,0.8615,High,OvertimeRisk,2.6398,0,Increases Attrition Risk,StockOptionLevel,1.094,0.0,Increases Attrition Risk,NumCompaniesWorked,0.8163,1.0,Increases Attrition Risk,Research & Development,Healthcare Representative,Male,28,Non-Travel,Technical Degree,Single,8722,10,No,1,2,2,0.666666667,0.666666667,0.502,0.91,0.533,Retention,Understand employee expectations and strengthen long-term retention strategies.,91.0
1022,0.8516,High,OvertimeRisk,1.7742,0,Increases Attrition Risk,StockOptionLevel,1.3027,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7707,3.0,Increases Attrition Risk,Sales,Sales Representative,Male,25,Travel_Rarely,Life Sciences,Married,4400,3,No,1,1,3,0.333333333,0.666666667,0.313,0.43,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,90.0
47,0.8544,High,OvertimeRisk,2.3922,0,Increases Attrition Risk,StockOptionLevel,1.1431,0.0,Increases Attrition Risk,BusinessTravel_Non-Travel,-0.6377,1.0,Reduces Attrition Risk,Sales,Sales Executive,Male,34,Non-Travel,Marketing,Single,4568,9,No,3,2,3,2.333333333,1.0,0.453,0.82,0.533,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",90.0
947,0.8526,High,OvertimeRisk,2.2107,1,Increases Attrition Risk,StockOptionLevel,1.3225,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6612,2.0,Increases Attrition Risk,Sales,Sales Executive,Male,40,Travel_Rarely,Marketing,Single,9094,5,Yes,2,4,3,2.333333333,1.666666667,0.502,0.5,0.6,Retention,Understand employee expectations and strengthen long-term retention strategies.,90.0
25,0.8527,High,OvertimeRisk,2.1148,0,Increases Attrition Risk,StockOptionLevel,1.3466,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7603,2.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,34,Travel_Rarely,Medical,Single,2960,4,No,1,2,3,1.666666667,1.0,0.311,0.44,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,90.0
570,0.8547,High,OvertimeRisk,2.4111,0,Increases Attrition Risk,StockOptionLevel,1.1325,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6054,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,36,Non-Travel,Life Sciences,Single,7587,10,No,1,1,3,0.666666667,0.666666667,0.595,0.91,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,90.0
205,0.8352,High,OvertimeRisk,1.7182,1,Increases Attrition Risk,StockOptionLevel,1.1747,0.0,Increases Attrition Risk,NumCompaniesWorked,1.0216,7.0,Increases Attrition Risk,Research & Development,Healthcare Representative,Male,38,Travel_Rarely,Medical,Married,6673,1,Yes,1,2,3,1.333333333,1.0,0.607,0.06,0.667,Retention,Understand employee expectations and strengthen long-term retention strategies.,89.0
375,0.8394,High,OvertimeRisk,2.3551,0,Increases Attrition Risk,StockOptionLevel,1.2332,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6403,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,28,Travel_Rarely,Life Sciences,Single,5253,7,No,4,2,3,3.0,1.0,0.536,0.88,0.067,Retention,Understand employee expectations and strengthen long-term retention strategies.,89.0
1385,0.8315,High,OvertimeRisk,2.266,0,Increases Attrition Risk,StockOptionLevel,1.0906,0.0,Increases Attrition Risk,JobSatisfaction,-0.5528,4.0,Reduces Attrition Risk,Sales,Sales Executive,Male,34,Travel_Rarely,Marketing,Single,9888,14,No,4,1,2,1.666666667,0.333333333,0.694,0.93,0.133,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",88.0
836,0.8291,High,OvertimeRisk,2.155,0,Increases Attrition Risk,StockOptionLevel,1.296,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6399,1.0,Increases Attrition Risk,Human Resources,Human Resources,Male,35,Travel_Rarely,Technical Degree,Single,4323,5,No,3,3,1,2.333333333,0.666666667,0.454,0.71,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,88.0
854,0.8339,High,OvertimeRisk,2.1498,0,Increases Attrition Risk,StockOptionLevel,1.2686,0.0,Increases Attrition Risk,NumCompaniesWorked,0.8609,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,19,Travel_Rarely,Life Sciences,Single,2552,1,No,1,3,3,2.0,1.333333333,0.667,0.5,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,88.0
1397,0.8336,High,OvertimeRisk,1.9525,1,Increases Attrition Risk,StockOptionLevel,1.1526,0.0,Increases Attrition Risk,NumCompaniesWorked,0.505,6.0,Increases Attrition Risk,Sales,Sales Executive,Male,53,Travel_Rarely,Life Sciences,Single,10448,2,Yes,1,1,2,1.0,0.333333333,0.503,0.12,0.733,Retention,Understand employee expectations and strengthen long-term retention strategies.,88.0
329,0.8306,High,OvertimeRisk,2.3277,0,Increases Attrition Risk,StockOptionLevel,1.1008,0.0,Increases Attrition Risk,JobSatisfaction,-0.545,4.0,Reduces Attrition Risk,Sales,Sales Executive,Male,33,Travel_Frequently,Marketing,Single,4682,7,No,4,2,2,2.333333333,0.666666667,0.488,0.7,0.133,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",88.0
519,0.8208,High,OvertimeRisk,2.2389,0,Increases Attrition Risk,StockOptionLevel,1.1806,0.0,Increases Attrition Risk,JobSatisfaction,-0.4511,4.0,Reduces Attrition Risk,Sales,Sales Executive,Female,38,Travel_Rarely,Marketing,Single,4028,7,No,4,4,3,2.333333333,1.666666667,0.631,0.78,0.067,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",87.0
857,0.8154,High,OvertimeRisk,2.3591,0,Increases Attrition Risk,StockOptionLevel,1.1374,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6732,1.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,20,Travel_Rarely,Life Sciences,Single,3033,2,No,3,1,2,1.0,0.333333333,0.335,0.67,0.2,Retention,Understand employee expectations and strengthen long-term retention strategies.,87.0
44,0.8241,High,OvertimeRisk,2.3496,0,Increases Attrition Risk,StockOptionLevel,1.1904,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6026,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,27,Travel_Frequently,Life Sciences,Single,8726,9,No,3,4,3,3.333333333,1.666666667,0.573,0.9,0.133,Retention,Understand employee expectations and strengthen long-term retention strategies.,87.0
367,0.8149,High,OvertimeRisk,2.1723,0,Increases Attrition Risk,StockOptionLevel,1.1524,0.0,Increases Attrition Risk,JobSatisfaction,-0.5701,2.0,Reduces Attrition Risk,Sales,Sales Executive,Male,41,Travel_Frequently,Marketing,Single,9355,8,No,2,1,3,1.666666667,0.666666667,0.428,0.89,0.4,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",86.0
155,0.8109,High,OvertimeRisk,2.2479,0,Increases Attrition Risk,StockOptionLevel,1.0854,0.0,Increases Attrition Risk,JobSatisfaction,-0.4253,4.0,Reduces Attrition Risk,Sales,Sales Executive,Female,32,Travel_Frequently,Marketing,Single,8998,9,No,4,2,3,3.0,1.0,0.505,0.9,0.067,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",86.0
1007,0.8081,High,OvertimeRisk,2.0818,0,Increases Attrition Risk,StockOptionLevel,1.0884,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5433,3.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,49,Travel_Frequently,Life Sciences,Single,4284,4,No,1,1,3,0.333333333,0.666666667,0.609,0.19,0.467,Retention,Understand employee expectations and strengthen long-term retention strategies.,86.0
1394,0.8036,High,OvertimeRisk,2.4226,0,Increases Attrition Risk,StockOptionLevel,1.2625,0.0,Increases Attrition Risk,JobSatisfaction,-0.5267,4.0,Reduces Attrition Risk,Sales,Sales Executive,Male,27,Travel_Rarely,Marketing,Single,4105,7,No,4,4,3,2.666666667,1.666666667,0.488,0.88,0.067,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",85.0
1212,0.8025,High,OvertimeRisk,2.0056,0,Increases Attrition Risk,FrequentTraveler,0.8821,1.0,Increases Attrition Risk,NumCompaniesWorked,0.6319,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,37,Travel_Frequently,Medical,Divorced,9525,6,No,4,3,2,2.333333333,1.0,0.466,0.86,0.133,Retention,Understand employee expectations and strengthen long-term retention strategies.,85.0
934,0.7986,High,OvertimeRisk,2.1023,0,Increases Attrition Risk,StockOptionLevel,1.4194,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7572,2.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,28,Travel_Rarely,Technical Degree,Single,2080,3,No,1,4,2,2.0,1.333333333,0.311,0.5,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,85.0
567,0.8044,High,OvertimeRisk,2.1111,1,Increases Attrition Risk,StockOptionLevel,1.0876,0.0,Increases Attrition Risk,JobSatisfaction,-0.4688,3.0,Reduces Attrition Risk,Sales,Sales Executive,Female,47,Travel_Frequently,Life Sciences,Single,6397,5,Yes,3,2,3,3.0,1.0,0.418,0.56,0.533,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",85.0
681,0.7965,High,OvertimeRisk,2.4391,0,Increases Attrition Risk,StockOptionLevel,1.2319,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7181,2.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,36,Travel_Rarely,Other,Single,4678,6,No,4,2,3,2.666666667,1.0,0.5,0.67,0.067,Retention,Understand employee expectations and strengthen long-term retention strategies.,85.0
732,0.7868,High,OvertimeRisk,2.0355,1,Increases Attrition Risk,StockOptionLevel,1.3785,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7073,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Female,20,Travel_Rarely,Medical,Single,2600,1,Yes,1,4,3,1.333333333,1.666666667,0.429,0.5,0.467,Retention,Understand employee expectations and strengthen long-term retention strategies.,84.0
566,0.7891,High,OvertimeRisk,2.1319,0,Increases Attrition Risk,StockOptionLevel,1.1973,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7577,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,23,Travel_Rarely,Medical,Single,3505,2,No,3,1,3,2.666666667,0.666666667,0.5,0.67,0.133,Retention,Understand employee expectations and strengthen long-term retention strategies.,84.0
52,0.7943,High,OvertimeRisk,2.1458,1,Increases Attrition Risk,StockOptionLevel,1.2471,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5932,1.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,28,Travel_Rarely,Technical Degree,Single,3441,2,Yes,3,3,2,2.666666667,1.0,0.337,0.67,0.4,Retention,Understand employee expectations and strengthen long-term retention strategies.,84.0
1461,0.7933,High,OvertimeRisk,2.0748,0,Increases Attrition Risk,StockOptionLevel,1.2067,0.0,Increases Attrition Risk,NumCompaniesWorked,0.647,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Female,29,Travel_Rarely,Medical,Single,3785,5,No,1,4,1,1.666666667,1.0,0.405,0.83,0.6,Retention,Understand employee expectations and strengthen long-term retention strategies.,84.0
1364,0.7909,High,OvertimeRisk,2.3255,0,Increases Attrition Risk,StockOptionLevel,1.1493,0.0,Increases Attrition Risk,JobSatisfaction,-0.5817,3.0,Reduces Attrition Risk,Sales,Sales Executive,Male,33,Travel_Rarely,Marketing,Single,5487,10,No,3,2,2,2.0,0.666666667,0.488,0.91,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",84.0
1071,0.7884,High,OvertimeRisk,2.1003,0,Increases Attrition Risk,StockOptionLevel,1.1703,0.0,Increases Attrition Risk,RelationshipSatisfaction,-0.5467,4.0,Reduces Attrition Risk,Sales,Sales Executive,Male,28,Travel_Frequently,Life Sciences,Single,4898,4,No,1,3,3,2.333333333,1.333333333,0.466,0.67,0.267,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",84.0
451,0.7826,High,OvertimeRisk,2.3611,1,Increases Attrition Risk,StockOptionLevel,1.2449,0.0,Increases Attrition Risk,RelationshipSatisfaction,-0.5061,3.0,Reduces Attrition Risk,Sales,Sales Executive,Male,31,Travel_Rarely,Life Sciences,Single,6582,6,Yes,4,2,4,2.666666667,1.333333333,0.464,0.55,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",83.0
1058,0.7803,High,OvertimeRisk,2.2488,0,Increases Attrition Risk,StockOptionLevel,0.9516,0.0,Increases Attrition Risk,JobSatisfaction,-0.5318,2.0,Reduces Attrition Risk,Sales,Sales Executive,Female,29,Travel_Frequently,Technical Degree,Single,5765,5,No,2,1,1,1.0,0.0,0.417,0.62,0.333,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",83.0
230,0.7752,High,OvertimeRisk,2.263,1,Increases Attrition Risk,StockOptionLevel,1.2307,0.0,Increases Attrition Risk,NumCompaniesWorked,0.9382,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,29,Travel_Rarely,Medical,Single,2389,4,Yes,4,3,2,2.666666667,1.0,0.381,0.8,0.533,Retention,Understand employee expectations and strengthen long-term retention strategies.,83.0
1250,0.7783,High,OvertimeRisk,2.0415,0,Increases Attrition Risk,StockOptionLevel,1.1416,0.0,Increases Attrition Risk,FrequentTraveler,0.51,0.0,Increases Attrition Risk,Sales,Sales Representative,Female,29,Travel_Rarely,Marketing,Single,2760,2,No,2,2,3,1.333333333,1.0,0.337,0.67,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",83.0
379,0.7844,High,OvertimeRisk,2.3812,1,Increases Attrition Risk,StockOptionLevel,1.0994,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5639,8.0,Increases Attrition Risk,Sales,Sales Executive,Male,34,Non-Travel,Marketing,Single,5304,5,Yes,4,1,2,2.333333333,0.333333333,0.464,0.5,0.533,Retention,Understand employee expectations and strengthen long-term retention strategies.,83.0
217,0.7769,High,OvertimeRisk,2.2578,0,Increases Attrition Risk,StockOptionLevel,0.9877,0.0,Increases Attrition Risk,CareerGrowthScore,-0.4935,0.512,Reduces Attrition Risk,Sales,Sales Executive,Female,30,Travel_Frequently,Marketing,Single,6696,6,No,1,3,2,1.666666667,1.0,0.512,0.6,0.533,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",83.0
1248,0.7814,High,OvertimeRisk,2.0489,0,Increases Attrition Risk,FrequentTraveler,0.8891,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6353,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,31,Travel_Rarely,Technical Degree,Married,8346,5,No,3,1,3,2.0,0.666666667,0.607,0.71,0.133,Retention,Understand employee expectations and strengthen long-term retention strategies.,83.0
403,0.7826,High,OvertimeRisk,2.0288,0,Increases Attrition Risk,StockOptionLevel,1.009,0.0,Increases Attrition Risk,RelationshipSatisfaction,-0.5434,2.0,Reduces Attrition Risk,Sales,Sales Executive,Female,30,Travel_Rarely,Technical Degree,Single,6577,5,No,3,2,3,2.0,1.0,0.328,0.71,0.133,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",83.0
1255,0.7681,High,OvertimeRisk,2.1226,0,Increases Attrition Risk,StockOptionLevel,1.2442,0.0,Increases Attrition Risk,JobSatisfaction,-0.4772,4.0,Reduces Attrition Risk,Sales,Sales Executive,Female,49,Travel_Rarely,Marketing,Single,4507,5,No,4,4,4,3.333333333,2.0,0.44,0.56,0.0,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",82.0
491,0.7741,High,OvertimeRisk,2.3965,0,Increases Attrition Risk,StockOptionLevel,1.358,0.0,Increases Attrition Risk,EngagementScore,-0.5736,2.333333333,Reduces Attrition Risk,Research & Development,Research Scientist,Female,38,Travel_Rarely,Life Sciences,Single,2619,0,No,1,3,2,2.333333333,1.0,0.476,0.0,0.333,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",82.0
458,0.7689,High,OvertimeRisk,1.9932,1,Increases Attrition Risk,StockOptionLevel,1.2446,0.0,Increases Attrition Risk,NumCompaniesWorked,0.8114,1.0,Increases Attrition Risk,Sales,Sales Representative,Male,18,Travel_Frequently,Marketing,Single,1878,0,Yes,2,2,3,2.333333333,1.0,0.405,0.0,0.4,Retention,Understand employee expectations and strengthen long-term retention strategies.,82.0
1450,0.774,High,OvertimeRisk,2.1663,0,Increases Attrition Risk,StockOptionLevel,1.4452,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7864,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,32,Travel_Rarely,Technical Degree,Single,2439,4,No,1,4,3,2.666666667,1.666666667,0.383,0.8,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,82.0
686,0.7688,High,OvertimeRisk,2.1158,0,Increases Attrition Risk,StockOptionLevel,1.2821,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5181,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,26,Travel_Frequently,Medical,Single,4294,7,No,1,3,3,1.333333333,1.333333333,0.44,0.88,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,82.0
533,0.7577,High,OvertimeRisk,1.8604,0,Increases Attrition Risk,StockOptionLevel,1.3862,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6221,2.0,Increases Attrition Risk,Sales,Sales Executive,Male,47,Travel_Rarely,Marketing,Single,4960,7,No,1,4,3,2.666666667,1.666666667,0.418,0.33,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,81.0
1198,0.7567,High,OvertimeRisk,2.0619,0,Increases Attrition Risk,StockOptionLevel,1.3022,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6604,1.0,Increases Attrition Risk,Sales,Sales Representative,Male,20,Travel_Rarely,Life Sciences,Single,2728,2,No,1,4,3,1.666666667,1.666666667,0.333,0.67,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,81.0
