EmployeeID,PredictedProbability,RiskLevel,Driver_1,SHAP_1,FeatureValue_1,Impact_1,Driver_2,SHAP_2,FeatureValue_2,Impact_2,Driver_3,SHAP_3,FeatureValue_3,Impact_3,Department,JobRole,Gender,Age,BusinessTravel,EducationField,MaritalStatus,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,EngagementScore,WellbeingScore,CareerGrowthScore,LoyaltyScore,AttritionRiskScore,RecommendationCategory,AIRecommendation,RetentionPriorityScore,AttritionProbability (%),GlobalRiskRank,DepartmentRiskRank,JobRoleRiskRank,AgeGroup,IncomeBand,CompanyTenure,YearsUntilRetirement,ReviewPriority,ExecutiveAction,RiskPercentile,HighValueEmployee,RetentionActionRequired,HRHealthScore,HealthCategory,HRPriorityIndex,HRPriorityLevel
11,0.2012,Low,OvertimeRisk,1.9426,0,Increases Attrition Risk,FrequentTraveler,0.964,0.0,Increases Attrition Risk,DailyRate,-0.4954,809.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Male,35,Travel_Rarely,Medical,Married,2426,5,No,2,1,3,2.0,0.666666667,0.381,0.71,0.4,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",20.0,20.12,930,578,181,31–40,Low,Early,25,Annual,No Action Required,31.7,No,No,15.8,Critical,45.75,Medium
12,0.2232,Low,OvertimeRisk,2.1472,1,Increases Attrition Risk,StockOptionLevel,1.2321,0.0,Increases Attrition Risk,JobSatisfaction,-0.5338,3.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Female,29,Travel_Rarely,Life Sciences,Single,4193,9,Yes,3,4,3,3.0,1.666666667,0.44,0.82,0.533,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",22.0,22.32,868,536,162,18–30,Medium,Experienced,31,Annual,No Action Required,36.7,No,No,16.3,Critical,46.87,Medium
13,0.3744,Medium,OvertimeRisk,2.0933,0,Increases Attrition Risk,FrequentTraveler,1.0386,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7895,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,31,Travel_Rarely,Life Sciences,Divorced,2911,5,No,3,1,2,2.333333333,0.333333333,0.387,0.83,0.4,Retention,Understand employee expectations and strengthen long-term retention strategies.,37.0,37.44,573,325,136,31–40,Low,Early,29,Annual,No Action Required,58.8,No,No,15.8,Critical,56.14,Medium
14,0.1381,Low,OvertimeRisk,1.8539,0,Increases Attrition Risk,FrequentTraveler,0.6666,0.0,Increases Attrition Risk,JobRole_Laboratory Technician,0.5541,1.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,34,Travel_Rarely,Medical,Divorced,2661,2,No,4,2,3,2.666666667,1.0,0.311,0.5,0.267,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",14.0,13.81,1097,706,212,31–40,Low,New,26,Annual,No Action Required,18.6,No,No,16.0,Critical,41.89,Medium
15,0.6759,High,OvertimeRisk,2.4204,1,Increases Attrition Risk,StockOptionLevel,1.1544,0.0,Increases Attrition Risk,JobSatisfaction,-0.6265,3.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Male,28,Travel_Rarely,Life Sciences,Single,2028,4,Yes,3,3,3,2.0,1.333333333,0.405,0.57,0.533,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",73.0,67.59,136,52,19,18–30,Low,Early,32,Quarterly,Manager Review,90.5,No,Yes,15.9,Critical,74.19,High
16,0.5813,Medium,OvertimeRisk,2.153,0,Increases Attrition Risk,FrequentTraveler,1.0097,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6015,1.0,Increases Attrition Risk,Research & Development,Manufacturing Director,Female,29,Travel_Rarely,Life Sciences,Divorced,9980,10,No,1,2,3,2.0,1.0,0.322,0.91,0.667,Retention,Understand employee expectations and strengthen long-term retention strategies.,58.0,58.13,241,102,4,18–30,Very High,Experienced,31,Quarterly,No Action Required,83.0,No,No,15.8,Critical,68.56,High
17,0.0528,Low,OvertimeRisk,2.0129,1,Increases Attrition Risk,FrequentTraveler,1.0578,0.0,Increases Attrition Risk,DailyRate,-0.5982,334.0,Reduces Attrition Risk,Research & Development,Research Scientist,Male,32,Travel_Rarely,Life Sciences,Divorced,3298,6,Yes,2,1,2,2.333333333,0.333333333,0.357,0.75,0.467,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",5.0,5.28,1305,865,281,31–40,Medium,Experienced,28,Annual,No Action Required,3.1,No,No,15.8,Critical,36.85,Low
18,0.1253,Low,OvertimeRisk,1.9652,1,Increases Attrition Risk,NumCompaniesWorked,0.7576,1.0,Increases Attrition Risk,BusinessTravel_Non-Travel,-0.5722,1.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Male,22,Non-Travel,Medical,Divorced,2935,1,Yes,4,4,2,3.333333333,1.333333333,0.381,0.5,0.533,Retention,Understand employee expectations and strengthen long-term retention strategies.,13.0,12.53,1128,734,224,18–30,Medium,New,38,Annual,No Action Required,16.2,No,No,16.2,Critical,41.04,Medium
19,0.2093,Low,OvertimeRisk,1.9069,0,Increases Attrition Risk,StockOptionLevel,1.059,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7115,2.0,Increases Attrition Risk,Sales,Manager,Female,53,Travel_Rarely,Life Sciences,Married,15427,25,No,4,1,3,2.0,0.666666667,0.636,0.78,0.067,Retention,Understand employee expectations and strengthen long-term retention strategies.,21.0,20.93,910,338,60,51–60,Very High,Veteran,7,Annual,No Action Required,33.4,No,No,15.9,Critical,46.2,Medium
20,0.2792,Low,OvertimeRisk,2.1699,1,Increases Attrition Risk,StockOptionLevel,1.4023,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7102,5.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,38,Travel_Rarely,Life Sciences,Single,3944,3,Yes,4,4,3,3.333333333,1.666666667,0.311,0.43,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,28.0,27.92,750,451,173,31–40,Medium,Early,22,Annual,No Action Required,45.6,No,No,16.3,Critical,50.23,Medium
21,0.2227,Low,OvertimeRisk,2.0328,0,Increases Attrition Risk,FrequentTraveler,1.0216,0.0,Increases Attrition Risk,DailyRate,-0.4886,673.0,Reduces Attrition Risk,Research & Development,Manufacturing Director,Female,24,Non-Travel,Other,Divorced,4011,4,No,3,1,2,2.666666667,0.333333333,0.561,0.67,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",22.0,22.27,869,537,60,18–30,Medium,Early,36,Annual,No Action Required,36.6,No,No,15.9,Critical,47.0,Medium
22,0.5834,Medium,OvertimeRisk,2.0559,0,Increases Attrition Risk,StockOptionLevel,1.2475,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6589,7.0,Increases Attrition Risk,Sales,Sales Representative,Male,36,Travel_Rarely,Life Sciences,Single,3407,5,No,1,3,3,1.333333333,1.333333333,0.619,0.45,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,58.0,58.34,237,129,32,31–40,Medium,Early,24,Quarterly,No Action Required,83.4,No,No,15.8,Critical,68.68,High
23,0.232,Low,OvertimeRisk,1.9318,0,Increases Attrition Risk,StockOptionLevel,1.1297,0.0,Increases Attrition Risk,JobSatisfaction,-0.59,2.0,Reduces Attrition Risk,Research & Development,Research Director,Female,34,Travel_Rarely,Life Sciences,Single,11994,12,No,2,1,3,1.666666667,0.666666667,0.456,0.86,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",23.0,23.2,851,523,41,31–40,Very High,Veteran,26,Annual,No Action Required,38.0,No,No,15.8,Critical,47.6,Medium
24,0.5888,Medium,OvertimeRisk,2.2701,0,Increases Attrition Risk,StockOptionLevel,1.2134,0.0,Increases Attrition Risk,NumCompaniesWorked,0.9536,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,21,Travel_Rarely,Life Sciences,Single,1232,0,No,4,3,3,3.333333333,1.333333333,0.405,0.0,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,59.0,58.88,226,95,49,18–30,Low,New,39,Quarterly,No Action Required,84.4,No,No,16.1,Critical,68.89,High
25,0.8527,High,OvertimeRisk,2.1148,0,Increases Attrition Risk,StockOptionLevel,1.3466,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7603,2.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,34,Travel_Rarely,Medical,Single,2960,4,No,1,2,3,1.666666667,1.0,0.311,0.44,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,90.0,85.27,24,8,3,31–40,Medium,Early,26,Immediate,Manager Review,98.4,No,Yes,15.7,Critical,84.88,Critical
26,0.2232,Low,OvertimeRisk,2.1849,0,Increases Attrition Risk,FrequentTraveler,0.6202,0.0,Increases Attrition Risk,DailyRate,-0.6161,1282.0,Reduces Attrition Risk,Research & Development,Manager,Female,53,Travel_Rarely,Other,Divorced,19094,14,No,3,3,2,3.0,1.0,0.578,0.52,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",22.0,22.32,868,536,57,51–60,Very High,Veteran,7,Annual,No Action Required,36.7,No,No,16.1,Critical,46.95,Medium
27,0.7578,High,OvertimeRisk,2.3655,1,Increases Attrition Risk,StockOptionLevel,1.155,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5942,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Female,32,Travel_Frequently,Life Sciences,Single,3919,10,Yes,1,2,3,0.666666667,1.0,0.462,0.91,0.867,Retention,Understand employee expectations and strengthen long-term retention strategies.,81.0,75.78,70,25,14,31–40,Medium,Experienced,28,This Month,Manager Review,95.2,No,Yes,15.5,Critical,79.27,High
28,0.184,Low,OvertimeRisk,1.9641,0,Increases Attrition Risk,MaritalStatus_Single,-0.6242,0.0,Reduces Attrition Risk,FrequentTraveler,0.5421,0.0,Increases Attrition Risk,Sales,Sales Executive,Male,42,Travel_Rarely,Marketing,Married,6825,9,No,2,3,3,2.666666667,1.333333333,0.328,0.82,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",18.0,18.4,973,353,264,41–50,High,Experienced,18,Annual,No Action Required,28.4,No,No,16.1,Critical,44.6,Medium
29,0.2367,Low,OvertimeRisk,1.9099,0,Increases Attrition Risk,FrequentTraveler,0.8292,0.0,Increases Attrition Risk,NumCompaniesWorked,0.4993,3.0,Increases Attrition Risk,Research & Development,Healthcare Representative,Female,44,Travel_Rarely,Medical,Married,10248,22,No,4,1,3,2.333333333,0.666666667,0.46,0.88,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,24.0,23.67,837,514,66,41–50,Very High,Veteran,16,Annual,No Action Required,38.9,No,No,15.9,Critical,47.84,Medium
30,0.5898,Medium,OvertimeRisk,2.0054,0,Increases Attrition Risk,StockOptionLevel,1.3275,0.0,Increases Attrition Risk,CareerGrowthScore,-0.4815,0.646,Reduces Attrition Risk,Sales,Manager,Female,46,Travel_Rarely,Marketing,Single,18947,2,No,1,2,2,2.0,0.666666667,0.646,0.09,0.333,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",59.0,58.98,222,120,4,41–50,Very High,New,14,Quarterly,No Action Required,84.6,No,No,15.7,Critical,69.11,High
31,0.3028,Low,OvertimeRisk,2.0997,0,Increases Attrition Risk,StockOptionLevel,1.1975,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6063,4.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,33,Travel_Rarely,Medical,Single,2496,1,No,4,3,3,3.333333333,1.333333333,0.333,0.12,0.067,Retention,Understand employee expectations and strengthen long-term retention strategies.,30.0,30.28,708,420,137,31–40,Low,New,27,Annual,No Action Required,48.8,No,No,16.2,Critical,51.69,Medium
32,0.2622,Low,OvertimeRisk,1.862,1,Increases Attrition Risk,StockOptionLevel,1.1803,0.0,Increases Attrition Risk,NumCompaniesWorked,0.9238,2.0,Increases Attrition Risk,Research & Development,Healthcare Representative,Male,44,Travel_Rarely,Other,Married,6465,4,Yes,4,4,4,3.666666667,2.0,0.442,0.4,0.2,Retention,Understand employee expectations and strengthen long-term retention strategies.,26.0,26.22,780,472,60,41–50,High,Early,16,Annual,No Action Required,43.3,No,No,16.5,Critical,49.13,Medium
33,0.2757,Low,OvertimeRisk,2.2515,0,Increases Attrition Risk,StockOptionLevel,1.1596,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6934,1.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,30,Travel_Rarely,Medical,Single,2206,10,No,3,4,3,2.0,1.666666667,0.359,0.91,0.133,Retention,Understand employee expectations and strengthen long-term retention strategies.,28.0,27.57,756,453,146,18–30,Low,Experienced,30,Annual,No Action Required,45.2,No,No,16.1,Critical,50.1,Medium
34,0.1499,Low,OvertimeRisk,1.5871,0,Increases Attrition Risk,NumCompaniesWorked,0.7739,3.0,Increases Attrition Risk,JobSatisfaction,-0.481,4.0,Reduces Attrition Risk,Sales,Sales Representative,Male,39,Travel_Rarely,Technical Degree,Married,2086,1,No,4,4,4,3.333333333,2.0,0.488,0.05,0.0,Retention,Understand employee expectations and strengthen long-term retention strategies.,15.0,14.99,1062,376,78,31–40,Low,New,21,Annual,No Action Required,21.5,No,No,16.3,Critical,42.47,Medium
35,0.2409,Low,OvertimeRisk,1.8671,1,Increases Attrition Risk,NumCompaniesWorked,1.0431,2.0,Increases Attrition Risk,DailyRate,-0.6073,813.0,Reduces Attrition Risk,Research & Development,Research Scientist,Male,24,Travel_Rarely,Medical,Married,2293,2,Yes,4,2,2,2.0,0.666666667,0.408,0.29,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,24.0,24.09,825,505,186,18–30,Low,New,36,Annual,No Action Required,39.9,No,No,15.7,Critical,48.17,Medium
36,0.1493,Low,OvertimeRisk,1.9875,0,Increases Attrition Risk,FrequentTraveler,1.0048,0.0,Increases Attrition Risk,NumCompaniesWorked,0.521,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Female,43,Travel_Rarely,Medical,Divorced,2645,5,No,3,4,2,3.666666667,1.333333333,0.335,0.71,0.2,Retention,Understand employee expectations and strengthen long-term retention strategies.,15.0,14.93,1065,681,234,41–50,Low,Early,17,Annual,No Action Required,21.3,No,No,16.4,Critical,42.4,Medium
37,0.7179,High,OvertimeRisk,1.687,1,Increases Attrition Risk,StockOptionLevel,1.3195,0.0,Increases Attrition Risk,NumCompaniesWorked,0.703,1.0,Increases Attrition Risk,Sales,Sales Representative,Male,50,Travel_Rarely,Marketing,Married,2683,3,Yes,3,1,3,1.666666667,0.666666667,0.405,0.75,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,77.0,71.79,99,61,10,41–50,Low,Early,10,This Month,Manager Review,93.3,No,Yes,15.7,Critical,76.79,High
38,0.5,Medium,OvertimeRisk,1.709,0,Increases Attrition Risk,StockOptionLevel,1.1531,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5781,1.0,Increases Attrition Risk,Sales,Sales Representative,Female,35,Travel_Rarely,Marketing,Married,2014,2,No,4,4,3,2.666666667,1.666666667,0.337,0.67,0.067,Retention,Understand employee expectations and strengthen long-term retention strategies.,50.0,50.0,362,175,45,31–40,Low,New,25,Quarterly,No Action Required,74.5,No,No,16.2,Critical,63.52,High
39,0.1432,Low,OvertimeRisk,1.8866,1,Increases Attrition Risk,DailyRate,-0.6804,852.0,Reduces Attrition Risk,MaritalStatus_Single,-0.5736,0.0,Reduces Attrition Risk,Research & Development,Research Scientist,Female,36,Travel_Rarely,Life Sciences,Married,3419,1,Yes,1,2,4,1.666666667,1.333333333,0.405,0.14,0.4,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",14.0,14.32,1085,695,239,31–40,Medium,New,24,Annual,No Action Required,19.6,No,No,15.7,Critical,42.31,Medium
40,0.2284,Low,OvertimeRisk,1.8812,0,Increases Attrition Risk,FrequentTraveler,0.7915,1.0,Increases Attrition Risk,MaritalStatus_Single,-0.5434,0.0,Reduces Attrition Risk,Sales,Sales Executive,Female,33,Travel_Frequently,Life Sciences,Married,5376,5,No,1,3,3,1.666666667,1.333333333,0.585,0.45,0.267,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",23.0,22.84,855,322,242,31–40,High,Early,27,Annual,No Action Required,37.6,No,No,15.9,Critical,47.34,Medium
41,0.1387,Low,OvertimeRisk,1.974,0,Increases Attrition Risk,NumCompaniesWorked,0.716,1.0,Increases Attrition Risk,DailyRate,-0.5909,464.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Male,35,Travel_Rarely,Other,Divorced,1951,1,No,4,3,3,3.0,1.333333333,0.357,0.5,0.067,Retention,Understand employee expectations and strengthen long-term retention strategies.,14.0,13.87,1096,705,211,31–40,Low,New,25,Annual,No Action Required,18.6,No,No,16.2,Critical,41.84,Medium
42,0.1353,Low,OvertimeRisk,1.9303,0,Increases Attrition Risk,DailyRate,-0.678,1240.0,Reduces Attrition Risk,NumCompaniesWorked,0.5629,1.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Female,27,Travel_Rarely,Life Sciences,Divorced,2341,1,No,1,4,3,2.666666667,1.666666667,0.381,0.5,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,14.0,13.53,1103,712,216,18–30,Low,New,33,Annual,No Action Required,18.1,No,No,16.1,Critical,41.68,Medium
43,0.4376,Medium,OvertimeRisk,2.1602,0,Increases Attrition Risk,StockOptionLevel,1.1893,0.0,Increases Attrition Risk,JobSatisfaction,-0.7387,3.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Male,26,Travel_Rarely,Life Sciences,Single,2293,1,No,3,1,2,1.333333333,0.333333333,0.357,0.5,0.4,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",44.0,43.76,463,248,79,18–30,Low,New,34,Annual,No Action Required,67.1,No,No,15.5,Critical,60.06,High
44,0.8241,High,OvertimeRisk,2.3496,0,Increases Attrition Risk,StockOptionLevel,1.1904,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6026,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,27,Travel_Frequently,Life Sciences,Single,8726,9,No,3,4,3,3.333333333,1.666666667,0.573,0.9,0.133,Retention,Understand employee expectations and strengthen long-term retention strategies.,87.0,82.41,34,23,19,18–30,Very High,Experienced,33,This Month,Manager Review,97.8,Yes,Yes,16.4,Critical,82.89,Critical
45,0.1347,Low,OvertimeRisk,2.0196,0,Increases Attrition Risk,StockOptionLevel,1.1424,0.0,Increases Attrition Risk,JobSatisfaction,-0.5322,4.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Female,30,Travel_Frequently,Medical,Single,4011,12,No,4,3,3,3.333333333,1.333333333,0.636,0.92,0.067,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",13.0,13.47,1104,713,217,18–30,Medium,Veteran,30,Annual,No Action Required,18.0,No,No,16.4,Critical,41.52,Medium
46,0.4711,Medium,OvertimeRisk,1.9518,0,Increases Attrition Risk,StockOptionLevel,1.3306,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7236,1.0,Increases Attrition Risk,Research & Development,Research Director,Female,41,Travel_Rarely,Technical Degree,Married,19545,22,No,3,2,3,2.666666667,1.0,0.357,0.92,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,47.0,47.11,404,209,12,41–50,Very High,Veteran,19,Annual,No Action Required,71.3,No,No,16.1,Critical,61.83,High
47,0.8544,High,OvertimeRisk,2.3922,0,Increases Attrition Risk,StockOptionLevel,1.1431,0.0,Increases Attrition Risk,BusinessTravel_Non-Travel,-0.6377,1.0,Reduces Attrition Risk,Sales,Sales Executive,Male,34,Non-Travel,Marketing,Single,4568,9,No,3,2,3,2.333333333,1.0,0.453,0.82,0.533,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",90.0,85.44,23,16,13,31–40,Medium,Experienced,26,Immediate,Manager Review,98.5,No,Yes,16.0,Critical,84.86,Critical
48,0.4019,Medium,OvertimeRisk,1.9525,0,Increases Attrition Risk,StockOptionLevel,1.1518,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6994,4.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,37,Travel_Rarely,Life Sciences,Married,3022,1,No,2,2,3,1.333333333,1.0,0.571,0.11,0.4,Retention,Understand employee expectations and strengthen long-term retention strategies.,40.0,40.19,527,290,129,31–40,Medium,New,23,Annual,No Action Required,62.4,No,No,15.6,Critical,57.87,Medium
49,0.6613,High,OvertimeRisk,2.0727,1,Increases Attrition Risk,StockOptionLevel,1.129,0.0,Increases Attrition Risk,CareerGrowthScore,-0.552,0.655,Reduces Attrition Risk,Sales,Sales Executive,Male,46,Travel_Frequently,Marketing,Single,5772,9,Yes,4,1,3,2.333333333,0.666666667,0.655,0.6,0.267,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",71.0,66.13,151,86,71,41–50,High,Experienced,14,Quarterly,Manager Review,89.5,No,Yes,15.9,Critical,73.32,High
