EmployeeID,PredictedProbability,RiskLevel,Driver_1,SHAP_1,FeatureValue_1,Impact_1,Driver_2,SHAP_2,FeatureValue_2,Impact_2,Driver_3,SHAP_3,FeatureValue_3,Impact_3
56,0.6014,Medium,OvertimeRisk,2.0351,1,Increases Attrition Risk,StockOptionLevel,1.2768,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6701,1.0,Increases Attrition Risk
57,0.8894,High,OvertimeRisk,2.0884,0,Increases Attrition Risk,FrequentTraveler,0.8695,1.0,Increases Attrition Risk,NumCompaniesWorked,0.7502,1.0,Increases Attrition Risk
58,0.2341,Low,OvertimeRisk,1.7517,1,Increases Attrition Risk,FrequentTraveler,0.811,0.0,Increases Attrition Risk,TotalWorkingYears,-0.5768,4.0,Reduces Attrition Risk
59,0.2063,Low,OvertimeRisk,2.3382,0,Increases Attrition Risk,JobRole_Laboratory Technician,0.6809,1.0,Increases Attrition Risk,FrequentTraveler,0.5898,0.0,Increases Attrition Risk
60,0.3726,Medium,OvertimeRisk,2.1625,0,Increases Attrition Risk,FrequentTraveler,1.0511,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7545,1.0,Increases Attrition Risk
61,0.2735,Low,OvertimeRisk,2.0498,1,Increases Attrition Risk,FrequentTraveler,0.8171,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7833,1.0,Increases Attrition Risk
62,0.3245,Low,OvertimeRisk,2.2868,0,Increases Attrition Risk,StockOptionLevel,1.2635,0.0,Increases Attrition Risk,JobSatisfaction,-0.6451,4.0,Reduces Attrition Risk
63,0.2305,Low,OvertimeRisk,2.0153,1,Increases Attrition Risk,FrequentTraveler,0.8974,0.0,Increases Attrition Risk,DailyRate,-0.4972,989.0,Reduces Attrition Risk
64,0.5128,Medium,OvertimeRisk,2.0436,0,Increases Attrition Risk,StockOptionLevel,1.059,0.0,Increases Attrition Risk,Gender_Female,-0.4417,1.0,Reduces Attrition Risk
65,0.1077,Low,OvertimeRisk,1.8717,0,Increases Attrition Risk,FrequentTraveler,0.9028,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6093,1.0,Increases Attrition Risk
66,0.0629,Low,OvertimeRisk,1.8228,1,Increases Attrition Risk,NumCompaniesWorked,0.659,2.0,Increases Attrition Risk,FrequentTraveler,0.6429,0.0,Increases Attrition Risk
67,0.4892,Medium,OvertimeRisk,2.2032,0,Increases Attrition Risk,StockOptionLevel,1.1211,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7888,1.0,Increases Attrition Risk
68,0.5189,Medium,OvertimeRisk,1.9094,0,Increases Attrition Risk,NumCompaniesWorked,0.9199,2.0,Increases Attrition Risk,FrequentTraveler,0.7346,0.0,Increases Attrition Risk
69,0.4921,Medium,OvertimeRisk,1.8169,0,Increases Attrition Risk,NumCompaniesWorked,0.739,4.0,Increases Attrition Risk,FrequentTraveler,0.6559,1.0,Increases Attrition Risk
70,0.0123,Low,OvertimeRisk,1.5949,1,Increases Attrition Risk,MaritalStatus_Single,-0.5329,0.0,Reduces Attrition Risk,IncomePerJobLevel,-0.5201,3388.0,Reduces Attrition Risk
71,0.3492,Medium,OvertimeRisk,1.8154,0,Increases Attrition Risk,StockOptionLevel,1.1029,0.0,Increases Attrition Risk,RelationshipSatisfaction,-0.5149,4.0,Reduces Attrition Risk
72,0.128,Low,OvertimeRisk,1.9474,0,Increases Attrition Risk,FrequentTraveler,1.0563,0.0,Increases Attrition Risk,DailyRate,-0.5566,1328.0,Reduces Attrition Risk
73,0.5654,Medium,OvertimeRisk,2.061,0,Increases Attrition Risk,StockOptionLevel,1.2759,0.0,Increases Attrition Risk,NumCompaniesWorked,0.8187,1.0,Increases Attrition Risk
74,0.2079,Low,OvertimeRisk,2.1216,0,Increases Attrition Risk,FrequentTraveler,0.8757,0.0,Increases Attrition Risk,NumCompaniesWorked,0.8382,1.0,Increases Attrition Risk
75,0.2529,Low,OvertimeRisk,1.7684,0,Increases Attrition Risk,StockOptionLevel,1.1115,0.0,Increases Attrition Risk,JobSatisfaction,-0.589,4.0,Reduces Attrition Risk
76,0.1957,Low,OvertimeRisk,1.9805,0,Increases Attrition Risk,StockOptionLevel,1.1768,0.0,Increases Attrition Risk,NumCompaniesWorked,0.633,1.0,Increases Attrition Risk
77,0.7452,High,OvertimeRisk,1.8819,0,Increases Attrition Risk,StockOptionLevel,1.321,0.0,Increases Attrition Risk,JobRole_Sales Executive,0.4678,1.0,Increases Attrition Risk
78,0.5115,Medium,OvertimeRisk,1.7636,1,Increases Attrition Risk,StockOptionLevel,1.297,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7736,4.0,Increases Attrition Risk
79,0.4038,Medium,OvertimeRisk,1.9695,0,Increases Attrition Risk,StockOptionLevel,1.1045,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7395,4.0,Increases Attrition Risk
80,0.2131,Low,OvertimeRisk,1.7361,1,Increases Attrition Risk,FrequentTraveler,0.9175,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5926,8.0,Increases Attrition Risk
81,0.1341,Low,OvertimeRisk,2.0681,1,Increases Attrition Risk,NumCompaniesWorked,0.7116,1.0,Increases Attrition Risk,JobInvolvement,-0.547,2.0,Reduces Attrition Risk
82,0.7483,High,OvertimeRisk,2.3054,0,Increases Attrition Risk,StockOptionLevel,1.1858,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7358,1.0,Increases Attrition Risk
83,0.3217,Low,OvertimeRisk,1.8623,0,Increases Attrition Risk,NumCompaniesWorked,0.6947,3.0,Increases Attrition Risk,DailyRate,-0.6362,111.0,Reduces Attrition Risk
84,0.1469,Low,OvertimeRisk,1.8941,1,Increases Attrition Risk,FrequentTraveler,0.9831,0.0,Increases Attrition Risk,BusinessTravel_Non-Travel,-0.495,1.0,Reduces Attrition Risk
85,0.5871,Medium,OvertimeRisk,1.9011,0,Increases Attrition Risk,StockOptionLevel,1.1374,0.0,Increases Attrition Risk,NumCompaniesWorked,1.0045,1.0,Increases Attrition Risk
86,0.166,Low,OvertimeRisk,2.094,0,Increases Attrition Risk,StockOptionLevel,1.0851,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6696,4.0,Increases Attrition Risk
87,0.5937,Medium,OvertimeRisk,1.787,0,Increases Attrition Risk,FrequentTraveler,0.5994,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5911,3.0,Increases Attrition Risk
88,0.2138,Low,OvertimeRisk,1.9987,0,Increases Attrition Risk,NumCompaniesWorked,0.7021,3.0,Increases Attrition Risk,FrequentTraveler,0.6118,0.0,Increases Attrition Risk
89,0.0987,Low,OvertimeRisk,1.8231,0,Increases Attrition Risk,NumCompaniesWorked,0.7504,1.0,Increases Attrition Risk,FrequentTraveler,0.7307,0.0,Increases Attrition Risk
90,0.7076,High,OvertimeRisk,2.12,0,Increases Attrition Risk,StockOptionLevel,1.169,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5455,1.0,Increases Attrition Risk
91,0.4002,Medium,OvertimeRisk,1.9968,0,Increases Attrition Risk,FrequentTraveler,0.8042,1.0,Increases Attrition Risk,NumCompaniesWorked,0.7828,1.0,Increases Attrition Risk
92,0.639,Medium,OvertimeRisk,2.0674,1,Increases Attrition Risk,StockOptionLevel,1.1288,0.0,Increases Attrition Risk,JobSatisfaction,-0.5754,4.0,Reduces Attrition Risk
93,0.1032,Low,OvertimeRisk,1.6803,1,Increases Attrition Risk,FrequentTraveler,0.9157,0.0,Increases Attrition Risk,Gender_Female,-0.431,1.0,Reduces Attrition Risk
94,0.6463,Medium,OvertimeRisk,1.917,1,Increases Attrition Risk,NumCompaniesWorked,1.0749,2.0,Increases Attrition Risk,FrequentTraveler,0.794,1.0,Increases Attrition Risk
95,0.7197,High,OvertimeRisk,2.0037,0,Increases Attrition Risk,StockOptionLevel,1.1549,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5205,1.0,Increases Attrition Risk
96,0.1311,Low,OvertimeRisk,1.7014,0,Increases Attrition Risk,FrequentTraveler,0.7589,0.0,Increases Attrition Risk,MaritalStatus_Single,-0.537,0.0,Reduces Attrition Risk
97,0.1645,Low,OvertimeRisk,1.8232,0,Increases Attrition Risk,FrequentTraveler,0.6608,0.0,Increases Attrition Risk,MaritalStatus_Single,-0.6331,0.0,Reduces Attrition Risk
98,0.4954,Medium,OvertimeRisk,2.054,0,Increases Attrition Risk,StockOptionLevel,1.0139,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6569,1.0,Increases Attrition Risk
99,0.6906,High,OvertimeRisk,2.1655,0,Increases Attrition Risk,StockOptionLevel,1.1724,0.0,Increases Attrition Risk,JobRole_Sales Executive,0.5296,1.0,Increases Attrition Risk
100,0.1517,Low,OvertimeRisk,1.9191,0,Increases Attrition Risk,FrequentTraveler,0.7313,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6135,4.0,Increases Attrition Risk
101,0.5619,Medium,OvertimeRisk,1.8285,1,Increases Attrition Risk,StockOptionLevel,1.3538,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6891,4.0,Increases Attrition Risk
102,0.8965,High,OvertimeRisk,2.0905,0,Increases Attrition Risk,StockOptionLevel,1.5249,0.0,Increases Attrition Risk,NumCompaniesWorked,0.906,1.0,Increases Attrition Risk
103,0.3948,Medium,OvertimeRisk,2.0222,1,Increases Attrition Risk,StockOptionLevel,1.2369,0.0,Increases Attrition Risk,JobSatisfaction,-0.6373,4.0,Reduces Attrition Risk
104,0.5424,Medium,OvertimeRisk,2.1646,0,Increases Attrition Risk,StockOptionLevel,1.1502,0.0,Increases Attrition Risk,JobSatisfaction,-0.6428,3.0,Reduces Attrition Risk
105,0.0728,Low,OvertimeRisk,1.8997,0,Increases Attrition Risk,NumCompaniesWorked,0.8851,5.0,Increases Attrition Risk,DailyRate,-0.6028,1040.0,Reduces Attrition Risk
106,0.2019,Low,OvertimeRisk,2.0316,0,Increases Attrition Risk,FrequentTraveler,0.8001,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6182,9.0,Increases Attrition Risk
107,0.2338,Low,OvertimeRisk,1.9449,1,Increases Attrition Risk,StockOptionLevel,1.2573,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6148,3.0,Increases Attrition Risk
108,0.6941,High,OvertimeRisk,2.1563,1,Increases Attrition Risk,StockOptionLevel,1.3101,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5222,1.0,Increases Attrition Risk
109,0.2272,Low,OvertimeRisk,1.9046,0,Increases Attrition Risk,NumCompaniesWorked,0.8873,1.0,Increases Attrition Risk,FrequentTraveler,0.7334,0.0,Increases Attrition Risk
110,0.4478,Medium,OvertimeRisk,2.0461,0,Increases Attrition Risk,StockOptionLevel,1.1465,0.0,Increases Attrition Risk,NumCompaniesWorked,0.65,1.0,Increases Attrition Risk
111,0.508,Medium,OvertimeRisk,2.2127,0,Increases Attrition Risk,StockOptionLevel,1.2066,0.0,Increases Attrition Risk,ExperienceRatio,-0.5467,0.45,Reduces Attrition Risk
112,0.6259,Medium,OvertimeRisk,2.3188,1,Increases Attrition Risk,StockOptionLevel,1.0542,0.0,Increases Attrition Risk,NumCompaniesWorked,0.672,1.0,Increases Attrition Risk
113,0.2301,Low,OvertimeRisk,2.2009,1,Increases Attrition Risk,StockOptionLevel,1.2215,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6595,2.0,Increases Attrition Risk
114,0.2108,Low,OvertimeRisk,2.1026,0,Increases Attrition Risk,FrequentTraveler,0.9915,0.0,Increases Attrition Risk,JobInvolvement,-0.5461,3.0,Reduces Attrition Risk
115,0.1617,Low,OvertimeRisk,1.7636,0,Increases Attrition Risk,FrequentTraveler,0.5739,0.0,Increases Attrition Risk,JobSatisfaction,-0.4799,2.0,Reduces Attrition Risk
116,0.457,Medium,OvertimeRisk,1.8935,0,Increases Attrition Risk,StockOptionLevel,1.1791,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6847,2.0,Increases Attrition Risk
117,0.2905,Low,OvertimeRisk,1.934,0,Increases Attrition Risk,StockOptionLevel,1.2971,0.0,Increases Attrition Risk,NumCompaniesWorked,0.4997,2.0,Increases Attrition Risk
118,0.4199,Medium,OvertimeRisk,1.8922,0,Increases Attrition Risk,FrequentTraveler,0.8389,1.0,Increases Attrition Risk,CareerGrowthScore,-0.4686,0.527,Reduces Attrition Risk
119,0.152,Low,OvertimeRisk,2.0799,0,Increases Attrition Risk,DailyRate,-0.6348,922.0,Reduces Attrition Risk,IncomePerJobLevel,-0.6094,2835.0,Reduces Attrition Risk
120,0.1932,Low,OvertimeRisk,1.9003,1,Increases Attrition Risk,NumCompaniesWorked,0.707,1.0,Increases Attrition Risk,FrequentTraveler,0.5729,1.0,Increases Attrition Risk
121,0.1734,Low,OvertimeRisk,2.1818,0,Increases Attrition Risk,FrequentTraveler,0.9453,1.0,Increases Attrition Risk,NumCompaniesWorked,0.6811,1.0,Increases Attrition Risk
122,0.2651,Low,OvertimeRisk,2.1129,0,Increases Attrition Risk,FrequentTraveler,0.6891,0.0,Increases Attrition Risk,MaritalStatus_Single,-0.5783,0.0,Reduces Attrition Risk
123,0.1596,Low,OvertimeRisk,2.0352,1,Increases Attrition Risk,FrequentTraveler,0.7107,0.0,Increases Attrition Risk,MaritalStatus_Single,-0.5818,0.0,Reduces Attrition Risk
124,0.5743,Medium,OvertimeRisk,2.2196,0,Increases Attrition Risk,StockOptionLevel,1.2168,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7376,7.0,Increases Attrition Risk
125,0.4244,Medium,OvertimeRisk,1.7714,1,Increases Attrition Risk,StockOptionLevel,1.1072,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6821,4.0,Increases Attrition Risk
126,0.5595,Medium,OvertimeRisk,1.8936,0,Increases Attrition Risk,StockOptionLevel,1.2461,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7171,1.0,Increases Attrition Risk
127,0.062,Low,OvertimeRisk,1.9744,0,Increases Attrition Risk,NumCompaniesWorked,0.6995,1.0,Increases Attrition Risk,DailyRate,-0.5337,147.0,Reduces Attrition Risk
128,0.8599,High,OvertimeRisk,2.0429,1,Increases Attrition Risk,StockOptionLevel,1.1809,0.0,Increases Attrition Risk,NumCompaniesWorked,0.9467,1.0,Increases Attrition Risk
129,0.1178,Low,OvertimeRisk,1.8502,0,Increases Attrition Risk,FrequentTraveler,0.5484,0.0,Increases Attrition Risk,JobInvolvement,-0.5053,3.0,Reduces Attrition Risk
130,0.4043,Medium,OvertimeRisk,1.7796,0,Increases Attrition Risk,StockOptionLevel,1.0871,0.0,Increases Attrition Risk,NumCompaniesWorked,0.8451,1.0,Increases Attrition Risk
131,0.2975,Low,OvertimeRisk,1.8561,0,Increases Attrition Risk,StockOptionLevel,1.2339,0.0,Increases Attrition Risk,JobSatisfaction,-0.5474,3.0,Reduces Attrition Risk
132,0.3351,Medium,OvertimeRisk,1.9748,0,Increases Attrition Risk,StockOptionLevel,1.0328,0.0,Increases Attrition Risk,JobSatisfaction,-0.5798,4.0,Reduces Attrition Risk
133,0.3238,Low,OvertimeRisk,1.702,1,Increases Attrition Risk,FrequentTraveler,0.8679,0.0,Increases Attrition Risk,Gender_Female,-0.4972,1.0,Reduces Attrition Risk
134,0.1079,Low,OvertimeRisk,1.8145,1,Increases Attrition Risk,MaritalStatus_Single,-0.586,0.0,Reduces Attrition Risk,FrequentTraveler,0.5476,0.0,Increases Attrition Risk
135,0.1942,Low,OvertimeRisk,1.9306,0,Increases Attrition Risk,FrequentTraveler,0.7388,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6764,1.0,Increases Attrition Risk
136,0.1842,Low,OvertimeRisk,1.9264,0,Increases Attrition Risk,NumCompaniesWorked,0.678,6.0,Increases Attrition Risk,FrequentTraveler,0.6743,0.0,Increases Attrition Risk
137,0.3591,Medium,OvertimeRisk,1.901,0,Increases Attrition Risk,StockOptionLevel,1.1024,0.0,Increases Attrition Risk,NumCompaniesWorked,0.9001,2.0,Increases Attrition Risk
138,0.0401,Low,OvertimeRisk,1.6531,0,Increases Attrition Risk,FrequentTraveler,0.617,0.0,Increases Attrition Risk,MaritalStatus_Single,-0.4786,0.0,Reduces Attrition Risk
139,0.5429,Medium,OvertimeRisk,2.0026,0,Increases Attrition Risk,StockOptionLevel,1.1811,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6802,2.0,Increases Attrition Risk
140,0.1455,Low,OvertimeRisk,1.6375,1,Increases Attrition Risk,StockOptionLevel,1.2247,0.0,Increases Attrition Risk,FrequentTraveler,0.4502,0.0,Increases Attrition Risk
141,0.528,Medium,OvertimeRisk,2.1939,0,Increases Attrition Risk,StockOptionLevel,1.0948,0.0,Increases Attrition Risk,ExperienceRatio,-0.453,0.31,Reduces Attrition Risk
142,0.6801,High,OvertimeRisk,2.115,0,Increases Attrition Risk,StockOptionLevel,1.2904,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6075,5.0,Increases Attrition Risk
